Motion Through Fluids Experiment Wed, Mar 02, 2022 10:41 AM
Time(sec)	Position(mm)
0.044	10.516
0.094	14.890
0.144	19.811
0.194	24.185
0.244	28.559
0.294	33.479
0.344	38.400
0.394	42.774
0.444	47.695
0.494	52.615
0.544	57.536
0.594	61.910
0.644	66.831
0.694	71.751
0.744	76.125
0.794	81.046
0.844	85.967
0.894	90.341
0.944	95.261
0.994	100.182
1.044	104.556
1.094	109.477
1.144	114.397
1.194	119.318
1.244	124.239
1.294	129.160
1.344	133.533
1.394	138.454
1.444	143.375
1.494	147.749
1.544	152.670
1.594	157.590
1.644	161.964
1.694	166.885
1.744	171.259
1.794	176.179
1.844	181.100
1.894	185.474
1.944	189.848
1.994	194.769
2.044	199.689
2.095	204.063
2.144	208.984
2.194	213.905
2.244	218.825
2.294	223.199
2.344	228.120
2.394	232.494
2.445	237.415
2.494	242.335
2.544	246.709
2.594	251.630
2.644	0.000
2.694	0.000
2.744	0.000
2.794	0.000
2.844	0.000
2.894	0.000
2.944	0.000
2.994	0.000
3.044	0.000
3.094	0.000
3.144	0.000
3.194	0.000
