velocity(m/s),r_squared,standard_error,diameter
0.0034527852776677593,0.9999514338394808,2.048365534039134e-06,1.62
0.003759851830463216,0.9999900675564738,6.864245496049102e-07,1.58
0.003657938791180364,0.9999857792549975,7.990842385655865e-07,1.58
0.007656377082922393,0.999986973423914,2.3108580294716697e-06,2.36
0.007562711669572066,0.9999900972098046,1.924034109909921e-06,2.30
0.007641032487910265,0.9999889202692968,2.1651077340295273e-06,2.36
0.01322343980746024,0.9999903610442017,4.648514915180636e-06,3.14
0.02846961358556271,0.9999829129924249,1.0017947370247608e-05,4.72
0.027802795284230172,0.9999852033320886,9.104038701275127e-06,4.70
0.027765307992559784,0.9999843362692521,8.742284947024837e-06,4.72
0.04675993002688762,0.9999832235086019,2.1686065416872577e-05,6.32
0.0472525335613039,0.9999774036410511,2.5433254505583507e-05,6.34
0.04694496347419004,0.9999788349281298,2.4454352826690834e-05,6.32
