,Time(sec),Position(mm)
10,0.543,66.284
11,0.593,71.205
12,0.643,75.579
13,0.693,80.499
14,0.743,85.42
15,0.793,89.794
16,0.843,94.715
17,0.893,99.089
18,0.943,104.009
19,0.993,108.93
20,1.043,113.304
21,1.093,118.225
22,1.143,122.599
23,1.193,127.519
24,1.243,131.893
25,1.294,136.814
26,1.343,141.735
27,1.393,146.109
28,1.443,151.029
29,1.493,155.403
30,1.543,160.324
31,1.593,164.698
32,1.643,169.619
33,1.693,173.992
34,1.744,178.913
35,1.793,183.287
36,1.843,188.208
37,1.894,192.582
38,1.943,197.502
39,1.993,201.876
